conceptId,substanceId
151004,68704007
192008,72904005
192008,72904005
198007,407325004
228007,58242002
253005,409822003
276008,112115002
281004,311492009
299007,255667006
310008,409822003
360002,125576007
479003,103186007
479003,103186007
539009,767401005
539009,767401005
555002,5623007
750009,11168007
781000,23046006
792004,88520007
805002,311429008
827006,72904005
862001,46417008
875001,66925006
998008,88274000
1020003,243621001
1059007,42463004
1085006,3265006
1102005,35029001
1107004,72904005
1116000,81665004
1135000,41355003
1197005,409822003
1214006,10823008
1259003,80324000
1259003,26227005
1297003,23903006
1323006,387396008
1383008,373469002
1387009,46430009
1447000,90580008
1475003,19965007
1531000,360201004
1532007,49872002
1606009,82926002
1647007,429663004
1654001,419933005
1657008,63341008
1685005,409822003
1686006,418149003
1714005,56242006
1724002,7282007
1828006,55374008
1837006,372797004
1848004,373266007
1857005,5210005
1897008,25391009
1903004,30834000
1959009,18877008
1973000,418149003
1977004,126101002
2043009,419442005
2087000,59674005
2094002,6044000
2114004,40033008
2121004,52850008
2158004,81169006
2176006,767523007
2224000,22038003
2296009,387118003
2341000,82979007
2390000,68704007
2390000,68704007
2403008,418149003
2418009,311527008
2435008,66953006
2443003,27390006
2513003,88578003
2523007,27268008
2528003,49872002
2562003,11372004
2576002,63938009
2585002,9861002
2606006,409822003
2638001,410942007
2770006,105590001
2805007,51369005
2808009,20033002
2819007,387202002
2836004,259139006
2850009,54297003
2918000,57522007
3009006,112613005
3053001,387404004
3095005,34706006
3144005,65119002
3163006,74871001
3214003,2429008
3218000,414561005
3254001,75482006
3259006,25177008
3276005,33936000
3282008,41355003
3303004,58234003
3398004,66586000
3419005,5851001
3419005,55123007
3464007,13098007
3474005,76068006
3487004,3265006
3529000,79856002
3589003,72904005
3611003,20024004
3641001,57384005
3657001,21561009
3738000,49872002
3752003,2572000
3902000,410942007
3908001,58027005
3928002,50471002
3978000,3602003
3993001,85454009
4003003,243600001
4030008,30776004
4038001,81360000
4038001,44644008
4075006,40522004
4082005,72904005
4089001,17872004
4175009,16287006
4223005,410942007
4225003,113858008
4241002,36094007
4340003,112277009
4359001,72904005
4390004,767300005
4414005,73675003
4418008,55811003
4418008,32824001
4418008,44644008
4445009,113858008
4464003,71518008
4483005,72904005
4499004,79357004
4501007,113858008
4510004,58800005
4522001,409822003
4526003,387365004
4633009,81888001
4639008,113674000
4645000,833337009
4669001,14562002
4688008,372807004
4690009,387190006
4733001,12972007
4740000,19551004
4763005,285715007
4771009,764147003
4834000,5595000
4835004,75555000
4836003,372783007
4846001,49872002
4860004,89354002
4863002,9721008
4896000,105590001
4915001,79235009
4921002,26217004
4922009,106779002
4953006,13531009
4989003,18213006
5002000,255677008
5018006,86550006
5062002,80032004
5071006,62617009
5082003,9165008
5085001,68704007
5093001,40560008
5168000,32662000
5174000,32335004
5189009,373774009
5196006,37612002
5218003,11408002
5319009,75371004
5368009,410942007
5417005,107641006
5417005,61908005
5441008,115651002
5444000,418149003
5490008,26601004
5497006,32686003
5566009,40740003
5576007,59442008
5578008,372862008
5602001,404642006
5602001,418149003
5603006,68498002
5714002,407456008
5724005,285340003
5724005,24842000
5758002,409822003
5765005,359783009
5808000,84066001
5834008,89351005
5859004,36244003
5877009,39156005
5900006,44470000
5903008,50549009
6020002,115651002
6024006,387449001
6040009,243378003
6042001,2429008
6066007,409822003
6095003,42533005
6128007,1142000
6142004,725894000
6150008,54575001
6160004,767270007
6185008,19454009
6207008,16829002
6242007,37744006
6262004,55360001
6267005,72904005
6270009,16636004
6298007,57145009
6316009,71498009
6323005,89404007
6348008,387085005
6365004,40560008
6398009,399773001
6452009,34212000
6464001,57951000
6546006,65079005
6605007,48117007
6618004,56242006
6618004,56242006
6627003,29269008
6677000,9029000
6749002,259270005
6752005,28962000
6781006,39293009
6803002,27268008
6803002,27268008
6882009,58572007
6888008,61789006
6897007,5990001
6900000,362949009
6955002,14267007
6977003,42011000
7005004,86796000
7052005,311492009
7071007,9721008
7072000,410942007
7081006,35331000
7095009,46644005
7097001,58800005
7184000,50863008
7200002,311492009
7201003,372802005
7219007,285656000
7220001,38417002
7248001,255637000
